Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,"Baldwin County, AL",1003,1999,1999,13,137555,Unreliable
,"Baldwin County, AL",1003,2000,2000,13,140415,Unreliable
,"Baldwin County, AL",1003,2001,2001,13,144875,Unreliable
,"Baldwin County, AL",1003,2002,2002,17,147957,Unreliable
,"Baldwin County, AL",1003,2003,2003,12,151509,Unreliable
,"Baldwin County, AL",1003,2004,2004,21,156266,13.4
,"Baldwin County, AL",1003,2005,2005,23,162183,14.2
,"Baldwin County, AL",1003,2006,2006,22,168121,13.1
,"Baldwin County, AL",1003,2007,2007,29,172404,16.8
,"Baldwin County, AL",1003,2008,2008,27,175827,15.4
,"Baldwin County, AL",1003,2009,2009,32,179406,17.8
,"Baldwin County, AL",1003,2010,2010,26,182265,14.3
,"Baldwin County, AL",1003,2011,2011,24,186717,12.9
,"Baldwin County, AL",1003,2012,2012,34,190790,17.8
,"Baldwin County, AL",1003,2013,2013,23,195540,11.8
,"Baldwin County, AL",1003,2014,2014,40,200111,20.0
,"Baldwin County, AL",1003,2015,2015,43,203709,21.1
,"Baldwin County, AL",1003,2016,2016,34,208563,16.3
,"Baldwin County, AL",1003,2017,2017,28,212628,13.2
,"Baldwin County, AL",1003,2018,2018,29,218022,13.3
,"Baldwin County, AL",1003,2019,2019,32,223234,14.3
,"Baldwin County, AL",1003,2020,2020,64,229287,27.9
,"Blount County, AL",1009,2008,2008,18,57055,Unreliable
,"Blount County, AL",1009,2009,2009,11,57341,Unreliable
,"Blount County, AL",1009,2010,2010,10,57322,Unreliable
,"Blount County, AL",1009,2012,2012,18,57826,Unreliable
,"Blount County, AL",1009,2013,2013,13,57872,Unreliable
,"Blount County, AL",1009,2014,2014,12,57719,Unreliable
,"Blount County, AL",1009,2015,2015,11,57673,Unreliable
,"Blount County, AL",1009,2016,2016,15,57704,Unreliable
,"Blount County, AL",1009,2017,2017,19,58013,Unreliable
,"Blount County, AL",1009,2018,2018,10,57840,Unreliable
,"Blount County, AL",1009,2019,2019,10,57826,Unreliable
,"Blount County, AL",1009,2020,2020,14,57879,Unreliable
,"Calhoun County, AL",1015,2005,2005,11,114477,Unreliable
,"Calhoun County, AL",1015,2007,2007,13,116211,Unreliable
,"Calhoun County, AL",1015,2008,2008,21,117274,17.9
,"Calhoun County, AL",1015,2009,2009,17,118363,Unreliable
,"Calhoun County, AL",1015,2010,2010,21,118572,17.7
,"Calhoun County, AL",1015,2011,2011,15,117797,Unreliable
,"Calhoun County, AL",1015,2014,2014,19,115916,Unreliable
,"Calhoun County, AL",1015,2015,2015,22,115620,19.0
,"Calhoun County, AL",1015,2016,2016,16,114611,Unreliable
,"Calhoun County, AL",1015,2017,2017,33,114728,28.8
,"Calhoun County, AL",1015,2018,2018,17,114277,Unreliable
,"Calhoun County, AL",1015,2019,2019,22,113605,19.4
,"Calhoun County, AL",1015,2020,2020,32,113469,28.2
,"Chilton County, AL",1021,2006,2006,13,42318,Unreliable
,"Chilton County, AL",1021,2010,2010,11,43643,Unreliable
,"Chilton County, AL",1021,2020,2020,10,44397,Unreliable
,"Colbert County, AL",1033,2019,2019,10,55241,Unreliable
,"Covington County, AL",1039,2020,2020,10,36930,Unreliable
,"Cullman County, AL",1043,2008,2008,11,80273,Unreliable
,"Cullman County, AL",1043,2011,2011,13,80536,Unreliable
,"Cullman County, AL",1043,2012,2012,13,80440,Unreliable
,"Cullman County, AL",1043,2013,2013,16,80811,Unreliable
,"Cullman County, AL",1043,2014,2014,30,81289,36.9
,"Cullman County, AL",1043,2015,2015,18,82005,Unreliable
,"Cullman County, AL",1043,2016,2016,20,82471,24.3
,"Cullman County, AL",1043,2017,2017,19,82755,Unreliable
,"Cullman County, AL",1043,2018,2018,20,83442,24.0
,"Cullman County, AL",1043,2019,2019,15,83768,Unreliable
,"Cullman County, AL",1043,2020,2020,17,84515,Unreliable
,"DeKalb County, AL",1049,2007,2007,12,69450,Unreliable
,"DeKalb County, AL",1049,2008,2008,12,70228,Unreliable
,"DeKalb County, AL",1049,2009,2009,14,70864,Unreliable
,"DeKalb County, AL",1049,2011,2011,11,71375,Unreliable
,"DeKalb County, AL",1049,2012,2012,16,71080,Unreliable
,"DeKalb County, AL",1049,2013,2013,23,71013,32.4
,"DeKalb County, AL",1049,2015,2015,21,71130,29.5
,"DeKalb County, AL",1049,2016,2016,19,70900,Unreliable
,"DeKalb County, AL",1049,2017,2017,28,71617,39.1
,"DeKalb County, AL",1049,2018,2018,17,71385,Unreliable
,"DeKalb County, AL",1049,2019,2019,24,71513,33.6
,"DeKalb County, AL",1049,2020,2020,19,71658,Unreliable
,"Elmore County, AL",1051,2014,2014,10,80977,Unreliable
,"Elmore County, AL",1051,2017,2017,10,81677,Unreliable
,"Elmore County, AL",1051,2019,2019,11,81209,Unreliable
,"Elmore County, AL",1051,2020,2020,12,82158,Unreliable
,"Escambia County, AL",1053,2009,2009,17,38249,Unreliable
,"Escambia County, AL",1053,2010,2010,13,38319,Unreliable
,"Escambia County, AL",1053,2011,2011,18,38095,Unreliable
,"Escambia County, AL",1053,2012,2012,10,37994,Unreliable
,"Escambia County, AL",1053,2013,2013,13,37983,Unreliable
,"Escambia County, AL",1053,2014,2014,13,37733,Unreliable
,"Escambia County, AL",1053,2015,2015,10,37789,Unreliable
,"Escambia County, AL",1053,2016,2016,11,37728,Unreliable
,"Escambia County, AL",1053,2017,2017,14,37447,Unreliable
,"Escambia County, AL",1053,2018,2018,16,36748,Unreliable
,"Escambia County, AL",1053,2019,2019,15,36633,Unreliable
,"Escambia County, AL",1053,2020,2020,14,36281,Unreliable
,"Etowah County, AL",1055,2000,2000,11,103459,Unreliable
,"Etowah County, AL",1055,2003,2003,11,103025,Unreliable
,"Etowah County, AL",1055,2005,2005,13,103174,Unreliable
,"Etowah County, AL",1055,2006,2006,10,103528,Unreliable
,"Etowah County, AL",1055,2007,2007,14,103893,Unreliable
,"Etowah County, AL",1055,2008,2008,20,104206,19.2
,"Etowah County, AL",1055,2009,2009,16,104239,Unreliable
,"Etowah County, AL",1055,2010,2010,12,104430,Unreliable
,"Etowah County, AL",1055,2011,2011,15,104303,Unreliable
,"Etowah County, AL",1055,2012,2012,10,104392,Unreliable
,"Etowah County, AL",1055,2013,2013,21,103931,20.2
,"Etowah County, AL",1055,2014,2014,21,103531,20.3
,"Etowah County, AL",1055,2015,2015,24,103057,23.3
,"Etowah County, AL",1055,2016,2016,18,102564,Unreliable
,"Etowah County, AL",1055,2017,2017,38,102755,37.0
,"Etowah County, AL",1055,2018,2018,33,102501,32.2
,"Etowah County, AL",1055,2019,2019,23,102268,22.5
,"Etowah County, AL",1055,2020,2020,24,102371,23.4
,"Franklin County, AL",1059,2013,2013,10,31532,Unreliable
,"Houston County, AL",1069,2007,2007,11,97727,Unreliable
,"Houston County, AL",1069,2008,2008,13,99183,Unreliable
,"Houston County, AL",1069,2009,2009,11,100500,Unreliable
,"Houston County, AL",1069,2010,2010,13,101547,Unreliable
,"Houston County, AL",1069,2011,2011,13,102369,Unreliable
,"Houston County, AL",1069,2012,2012,10,103402,Unreliable
,"Houston County, AL",1069,2013,2013,20,103668,19.3
,"Houston County, AL",1069,2014,2014,14,104193,Unreliable
,"Houston County, AL",1069,2015,2015,15,104173,Unreliable
,"Houston County, AL",1069,2017,2017,15,104346,Unreliable
,"Houston County, AL",1069,2018,2018,19,104722,Unreliable
,"Houston County, AL",1069,2019,2019,12,105882,Unreliable
,"Houston County, AL",1069,2020,2020,19,106580,Unreliable
,"Jackson County, AL",1071,2012,2012,14,53019,Unreliable
,"Jefferson County, AL",1073,1999,1999,42,662845,6.3
,"Jefferson County, AL",1073,2000,2000,67,662047,10.1
,"Jefferson County, AL",1073,2001,2001,67,660197,10.1
,"Jefferson County, AL",1073,2002,2002,64,657518,9.7
,"Jefferson County, AL",1073,2003,2003,78,657513,11.9
,"Jefferson County, AL",1073,2004,2004,75,656023,11.4
,"Jefferson County, AL",1073,2005,2005,69,654919,10.5
,"Jefferson County, AL",1073,2006,2006,96,655893,14.6
,"Jefferson County, AL",1073,2007,2007,106,655163,16.2
,"Jefferson County, AL",1073,2008,2008,95,656510,14.5
,"Jefferson County, AL",1073,2009,2009,134,658441,20.4
,"Jefferson County, AL",1073,2010,2010,77,658466,11.7
,"Jefferson County, AL",1073,2011,2011,121,658931,18.4
,"Jefferson County, AL",1073,2012,2012,115,660009,17.4
,"Jefferson County, AL",1073,2013,2013,127,659479,19.3
,"Jefferson County, AL",1073,2014,2014,217,660793,32.8
,"Jefferson County, AL",1073,2015,2015,187,660367,28.3
,"Jefferson County, AL",1073,2016,2016,256,659521,38.8
,"Jefferson County, AL",1073,2017,2017,278,659197,42.2
,"Jefferson County, AL",1073,2018,2018,257,659300,39.0
,"Jefferson County, AL",1073,2019,2019,271,658573,41.1
,"Jefferson County, AL",1073,2020,2020,364,655342,55.5
,"Lauderdale County, AL",1077,2007,2007,18,91107,Unreliable
,"Lauderdale County, AL",1077,2008,2008,18,92202,Unreliable
,"Lauderdale County, AL",1077,2010,2010,12,92709,Unreliable
,"Lauderdale County, AL",1077,2011,2011,13,92781,Unreliable
,"Lauderdale County, AL",1077,2016,2016,13,92318,Unreliable
,"Lauderdale County, AL",1077,2017,2017,13,92538,Unreliable
,"Lauderdale County, AL",1077,2018,2018,15,92387,Unreliable
,"Lauderdale County, AL",1077,2019,2019,11,92729,Unreliable
,"Lawrence County, AL",1079,2009,2009,10,34315,Unreliable
,"Lee County, AL",1081,2009,2009,13,138566,Unreliable
