"state","county","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Alabama","Baldwin",6.00393700787402,5.81975138121547,5.96652719665272,6.07848633496847,6.01161290322581,5.98725687458082,6.05045045045045,6.12143928035982,6.23053665910809,6.42159180457053,6.25418790968682,6.44005847953216,6.39163237311385,6.31575720416922,6.48175675675676,6.41427328111401
"Alabama","Calhoun/Benton",5.5269872423945,5.25475974614687,5.3475935828877,5.4561717352415,5.27689594356261,5.44789762340037,5.36296296296296,5.40333024976873,5.52337398373984,5.64143803216651,5.65476190476191,5.6673058485139,5.57521286660359,5.66076696165192,5.89847715736041,6.04580152671756
"Alabama","Etowah",5.2378892733564,5.30325581395349,5.19031435853866,5.61743119266055,5.51545454545455,5.42924086223055,5.58152686145146,5.504158004158,5.50143540669856,5.61149653121903,5.48019801980198,5.60596379126731,5.68432432432432,5.67996108949416,5.67635270541082,5.6957671957672
"Alabama","Jefferson",5.7603734439834,5.845152449469,5.88636363636364,5.98969420510221,5.99275728482398,5.98897502153316,5.98890327353431,6.06614229531641,6.10603418207185,6.09958071278826,6.17840375586854,6.29939587775409,6.32100959829364,6.34129879605983,6.42653429602888,6.39477068152593
"Alabama","Lee",6.33178654292343,6.25044937088077,6.14712643678161,6.26933778519755,6.31239388794567,6.37800687285223,6.07232401157184,6.05576559546314,6.27632763276328,6.13363636363636,6.19579831932773,6.3303730017762,6.47614917606245,6.45155393053016,6.64836325237592,6.62090813093981
"Alabama","Mobile",5.48076923076923,5.41184535234439,5.42329778506973,5.53047091412742,5.48026845637584,5.65929330652112,5.66509062253743,5.64076041375454,5.66383941193101,5.85819416926125,5.85103958986044,5.88787878787879,5.91622303166153,5.97079037800687,5.94444444444444,6.12143874643875
"Alabama","Shelby",6.00291885580852,6.09769484083425,6.11647429171039,6.09656218402427,6.11244979919679,6.05954935622318,6.16378244746601,6.32681867535288,6.43898573692552,6.41112828438949,6.32815734989648,6.55487179487179,6.44461859979101,6.58045112781955,6.65712876171682,6.74508670520231
"Alabama","Tuscaloosa",5.58569667077682,5.83759666864961,5.8034811903425,5.91691047396138,5.77062146892655,5.85494003426613,5.89578713968958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska","Anchorage",5.90899001109878,5.91680814940577,5.86299892125135,6.00713893465129,5.97875730217738,6.05072463768116,6.00068634179822,6.03218390804598,6.15149196633512,6.17350890782339,6.14879649890591,6.43228070175439,6.20194465220643,6.43931866572037,6.38801498127341,6.34889240506329
"Arizona","Coconino",5.81540930979133,5.84435146443515,5.60637509266123,5.81706435285611,5.78080229226361,5.72404554588078,5.51023464802796,5.68283166109253,5.80758505298383,5.65684093437152,5.6593164277839,5.8443600867679,5.91030432461292,6.14914285714286,6.19381202568593,6.41283676703645
"Arizona","Maricopa",5.64065778281826,5.67342077161085,5.66822506115792,5.71171988887972,5.80073497147872,5.82311757655007,5.86727080337521,5.88303691762903,5.91986161670927,5.97593715043833,6.00027794623004,6.0501592160154,6.1121497632202,6.16867008285044,6.30833608373804,6.38981936574523
"Arizona","Pima",5.96120689655172,6.04164492224194,6.01986892749402,6.05140092723241,6.08509996985833,6.07144236339062,6.11778227289445,6.14503431570448,6.12907997238931,6.19538945871839,6.19485330930209,6.30660698647465,6.38578189896648,6.37289764536281,6.43732616354534,6.56937332357961
"Arizona","Yavapai",6.12064194798008,6.05131004366812,6.16852146263911,6.09732728189612,6.27817993795243,6.23772858517806,6.37665782493369,6.38907849829352,6.32287507130633,6.3236741388737,6.39966555183946,6.6448294531673,6.3642007242628,6.55950457727517,6.600812595226,6.69919786096257
"Arizona","Yuma",4.87229056824839,4.83542976939203,4.98328108672936,4.89808219178082,5.00111607142857,5.01032608695652,4.88083192804947,5.05893358278765,5.20037192003719,5.16057692307692,5.44022869022869,5.2846865364851,5.27245206861756,5.37720156555773,5.42754367934224,5.46998722860792
"Arkansas","Benton",5.49881093935791,5.27749860413177,5.44491080797482,5.52117093570308,5.53694843168527,5.49261891744122,5.55769230769231,5.6337182448037,5.68613445378151,5.8601368691189,5.83856127143455,5.793142426526,5.98190727478326,5.79243884358784,5.92713955281419,6.06056466302368
"Arkansas","Pulaski",5.93008910212474,5.90199281280627,5.95626631853786,6.02379421221865,6.04895104895105,6.03506493506494,6.27875608842263,6.13619210977702,6.32953367875648,6.36710570753124,6.13903924221921,6.30827814569536,6.29248095395826,6.43397524071527,6.46483704974271,6.63229654878568
"Arkansas","Saline",NA,NA,NA,NA,NA,NA,NA,5.70154185022026,5.93087557603687,5.82275449101796,5.70442286947141,5.93551797040169,5.96610169491525,5.85570131180626,5.97463002114165,6.12395543175488
"Arkansas","Washington",5.45035460992908,5.53727064220184,5.63237774030354,5.62624584717608,5.70185995623632,5.55892255892256,5.76571767497034,5.7958050586058,5.85439229843562,5.9,6.06346483704974,6.02779291553134,5.94393592677346,5.92307692307692,6.00152516522623,6.2531328320802
"California","Alameda",6.16058069772609,6.23890263425993,6.32018881626725,6.34683379220403,6.3670603485525,6.34176701393587,6.31251570746419,6.35664025356577,6.51191564576096,6.5116903729931,6.62193685202639,6.64288216746467,6.79439579684764,6.79890257428054,6.89706803302021,6.92992730210016
"California","Butte",5.88515283842795,5.80336351875809,5.84924845269673,5.90544662309368,5.88751654168505,5.90834414180718,5.92537313432836,5.87963761863676,5.98957464553795,6.07692307692308,6.13019271948608,5.97217391304348,6.14609141392567,6.18614718614719,6.21123595505618,6.28407720144753
"California","Contra Costa",6.18004549886253,6.15671561796548,6.16802454766691,6.24236661384047,6.20756276474842,6.29410552349547,6.30091533180778,6.37269450922196,6.37125809061489,6.34189229693276,6.41613290632506,6.50876671619614,6.52293488824101,6.57894736842105,6.73879412931376,6.79856837875173
"California","El Dorado",6.11286549707602,6.22905982905983,6.20833333333333,6.21711659965537,6.19763058696823,6.3811320754717,6.36410587475791,6.49940476190476,6.63583441138422,6.45537757437071,6.60658682634731,6.49389179755672,6.70250896057348,6.73478503629257,6.6572820790471,6.78263750828363
"California","Fresno",4.92227728756195,4.94518135931447,4.87669345579793,4.99334656239057,4.96889439873774,4.95999069551058,4.9562435736319,5.021714922049,5.05298303229338,5.087282345162,5.13008399646331,5.19482835488185,5.29850909888182,5.39113443501563,5.48323929638234,5.46338028169014
"California","Humboldt",6.10946555054733,5.95288282703038,6.06221937139192,6.035,6.09670920080591,6.18170266836086,6.32020012507817,6.2467018469657,6.328418230563,6.3937583001328,6.37181996086106,6.32614742698192,6.42045454545455,6.52444134078212,6.44250871080139,6.53776978417266
"California","Imperial",4.38351719662557,4.50407013149656,4.53646477132262,4.61006670709521,4.64154103852596,4.54596412556054,4.72939866369711,4.73304020100502,4.59254658385093,4.65625,5.06548788474132,5.03863785199738,4.92390572390572,5.09098039215686,5.16320474777448,5.05089538171536
"California","Kern",4.8019151064742,4.80594474270001,4.70145721758625,4.79887266205483,4.79515335100341,4.80257668711656,4.88829854522454,4.75865687303253,4.93972529670623,4.93503355704698,5.00537862703468,5.09767769176636,4.92881448210154,5.22057566258193,5.19033927544566,5.24591329068941
"California","Kings",4.48999258710156,4.73062015503876,4.77961614824619,4.93472584856397,4.74334600760456,4.725768321513,4.96853696906135,4.9811320754717,4.98553459119497,4.89063482086738,5.19367333763719,5.07765754296626,5.04698412698413,5.08007566204288,5.13500992720053,5.14133738601824
"California","Los Angeles",5.42716622715923,5.47550503629509,5.52049263528297,5.5644582447377,5.56068885035282,5.57639355977804,5.55835906828123,5.61995546622527,5.68443530218435,5.72169650094239,5.81121148493579,5.85025269064214,5.93711564384883,5.997727539866,6.10316993848203,6.12831253418187
"California","Madera",4.76655629139073,4.59383954154728,4.88265682656827,4.88942307692308,4.73919206236712,4.77935943060498,4.96735273243435,4.90317700453858,5.00381388253242,5.11532125205931,5.08479755538579,5.18486055776892,5.19886363636364,5.04357625845229,5.13686534216336,5.10757314974182
"California","Marin",7.11346903421395,6.97248459958932,6.90777502067825,7.23002927645337,7.17036124794746,7.14291323125245,7.21962818849978,6.98917117867555,7.01185609157809,7.16835443037975,7.11655948553055,7.36252115059222,7.21305418719212,7.41208791208791,7.39036544850498,7.46857991093518
"California","Merced",4.5089722675367,4.61524334251607,4.46504559270517,4.71679859278804,4.65638766519824,4.7436974789916,4.59517321915142,4.66928158546656,4.76702657807309,4.71259682022014,4.81628303495311,4.80486744893525,4.80503412969283,5.02985074626866,4.87782805429864,4.91839622641509
"California","Napa",5.98003194888179,6.1356862745098,5.93419062027231,6.09754163362411,6.36050156739812,5.82941622441243,6.22547584187408,6.33352941176471,6.31018246027075,6.32859579306424,6.24387527839644,6.736276849642,6.60313771063335,6.63262910798122,6.63631123919308,6.71428571428571
"California","Orange",5.89034079029898,5.90675773569285,5.94881851161879,6.00146985134458,6.00499815504344,6.06726118003225,6.0408475386331,6.09207975630019,6.12548196089232,6.20950338912713,6.24191616766467,6.32868237904717,6.38819916793238,6.48019818331957,6.51412356507159,6.56615409916948
"California","Placer",6.09181871689229,6.19140740740741,6.17905788876277,6.20401721664275,6.37061529614721,6.35048721071864,6.37946103423161,6.41823810864059,6.45484490804282,6.59711075441413,6.45063357972545,6.62480499219969,6.48864209994952,6.57457751653196,6.74843975036006,6.77697189483228
