"","Year","GeoFIPS","american_indian_alaska_native","asian","black","female","hawaiian_other","hisp","male","med_income","not_cit","other_race","two_more","white","percent_manuf","County.Name","Deaths","Population","Crude.Rate","unemployment_rate"
"1",2005,16001,0.00507446615485748,0.0230403369493119,0.00800135636375534,0.502036032873974,0.000127902722543301,NA,0.497963967126026,51240,0.931482808981746,0.0194055200435464,0.0192567959475658,0.92509362181842,0.118635433902288,"Ada County, ID",27,348755,"7.7",3.3
"2",2006,16001,0.00596320692968652,0.0188310331861796,0.00884593424039439,0.495851379391981,0.00186332808779088,NA,0.504148620608019,53868,0.9439803918838,0.0158563928307825,0.0234099739579707,0.925230130767195,0.11491372308113,"Ada County, ID",42,363498,"11.6",2.7
"3",2007,16001,0.00670851566391542,0.0239739050791899,0.00992217586219825,0.497115739972041,0.00236739634606835,NA,0.502884260027959,54607,0.935876766843597,0.0103265614371488,0.0198443517243965,0.926857093887083,0.116104470629661,"Ada County, ID",45,375368,"12.0",2.7
"4",2008,16001,0.00562847842066576,0.0234537435682033,0.0132810038853303,0.495547621547832,0.001362490811719,NA,0.504452378452168,57039,0.915029402499212,0.0116796177675102,0.0217499737477686,0.922844691798803,0.106794527984208,"Ada County, ID",45,382618,"11.8",4.8
"5",2009,16001,0.00591437544195333,0.0255864980658043,0.0114387920635581,0.496687949752506,0,NA,0.503312050247494,53631,0.919273324736908,0.0115401813568487,0.0234469240048251,0.922073229067011,0.0942074679885533,"Ada County, ID",48,388577,"12.4",8.9
"6",2010,16001,0.00499579448633017,0.0264909244760896,0.0108021985561493,0.498867941788576,0.000810609583488975,NA,0.501132058211424,50612,0.933125979910096,0.00721417118346458,0.024198855998638,0.925487445715839,0.0919712863285915,"Ada County, ID",49,392365,"12.5",8.1
"7",2011,16001,0.00389929199036029,0.0262322810483931,0.00962473992246322,0.500516412950739,0,NA,0.499483587049261,49643,0.92056471128275,0.0177501359637962,0.0315785272002435,0.910915023874744,0.0871352511917709,"Ada County, ID",51,400842,"12.7",7.2
"8",2012,16001,0.00614089341198501,0.0250965014997763,0.0107392296014531,0.4980675253813,0.00139099058575616,NA,0.5019324746187,53909,0.923576190348139,0.0111474816714378,0.0271328726033526,0.918352030626239,0.0848487624963877,"Ada County, ID",42,409061,"10.3",6.3
"9",2013,16001,0.00750364977525068,0.0283553920626993,0.00880508279227016,0.496832859502862,0.00278775596450113,NA,0.503167140497138,52542,0.933912655115448,0.0148416189634638,0.0268282492604403,0.910878251181375,0.097002369136719,"Ada County, ID",58,416464,"13.9",5.8
"10",2014,16001,0.00705008492947569,0.0306473409097308,0.014287859307989,0.499070937227264,0.000218188984506236,NA,0.500929062772736,57716,0.925285522574348,0.0122842744395124,0.0235667564447865,0.911945494983999,0.108750557077696,"Ada County, ID",70,426236,"16.4",3.8
"11",2015,16001,0.00478799477673297,0.0229335507391568,0.0127311376266377,0.498167941392549,0.00123672592357172,NA,0.501832058607451,57399,0.927113776481941,0.0097510196655543,0.0340065083565363,0.91455306291181,0.0986882991620566,"Ada County, ID",45,434211,"10.4",3.4
"12",2016,16001,0.00456277532047529,0.0265253542569388,0.0147175403352942,0.499693713009089,0.000849045555685677,NA,0.500306286990911,61301,0.937366562469033,0.0154201987262065,0.0306602286342303,0.907264857171169,0.0948328199105932,"Ada County, ID",75,444028,"16.9",3.2
"13",2017,16001,0.00388312111879417,0.0241458337437534,0.0128116730035526,0.494327447362258,0.00202255012049933,NA,0.505672552637742,60858,0.934461933811828,0.0157075970397221,0.040518858528748,0.90091036644493,0.110760978996327,"Ada County, ID",71,456849,"15.5",2.8
"14",2018,16001,0.00432158922134793,0.0309277692428814,0.015626662354298,0.49805730627322,0.00271721784129065,NA,0.50194269372678,66405,0.925639301566496,0.0158841277879676,0.0300468544533009,0.900475779098914,0.107356113638527,"Ada County, ID",75,469966,"16.0",2.4
"15",2019,16001,0.00799024890622048,0.0232481358508431,0.0141096001345551,0.497243488715435,0.0013600865471867,NA,0.502756511284565,72021,0.922549819658753,0.0154613808096979,0.0359000554416959,0.901930492309801,0.0881337920546348,"Ada County, ID",82,481587,"17.0",2.4
"16",2005,8001,0.00996131625727214,0.0356738849385908,0.0305328862314156,0.492879363283775,0.000166653199741435,NA,0.507120636716225,50650,0.832311530381383,0.14092295572075,0.0303132070135747,0.752429096638655,0.0795004662258232,"Adams County, CO",69,395146,"17.5",5.7
"17",2006,8001,0.0103611061500514,0.0359102954592627,0.0276971940782646,0.489827145953304,0.000236521873446317,NA,0.510172854046696,50575,0.830177294865545,0.124910097553205,0.0295966095313488,0.771288175354421,0.0789817533041179,"Adams County, CO",69,406575,"17.0",4.8
"18",2007,8001,0.00862968792530089,0.0329305672256476,0.03042402868673,0.492481567829205,0.000284027029905679,NA,0.507518432170795,52110,0.832334110462846,0.113350453851525,0.0313471165339235,0.783034118746967,0.0754361672838524,"Adams County, CO",75,415746,"18.0",4.2
"19",2008,8001,0.0112571837079538,0.0314876194189901,0.0289924704527941,0.491620941611193,0.00115125012765878,NA,0.508379058388807,56529,0.836961163876742,0.105810563648349,0.0375293615203929,0.783771551123862,0.0686686741208347,"Adams County, CO",65,424913,"15.3",5.4
"20",2009,8001,0.0106282625160433,0.0341569273051334,0.0329528292901944,0.494140509848207,0.000519281441470859,NA,0.505859490151793,53790,0.844950271432264,0.0998539662671147,0.0353428844836891,0.786545848696354,0.0597807741451828,"Adams County, CO",72,435700,"16.5",9.1
